Algoritmo,tamanio,tiempo
FloydWarshall,10,0.0019199848175
FloydWarshall,20,0.00237512588501
FloydWarshall,50,0.0362210273743
FloydWarshall,100,0.235223054886
FloydWarshall,250,3.97506999969
Dijkstra,10,4.91142272949e-05
Dijkstra,20,6.38961791992e-05
Dijkstra,50,0.000251054763794
Dijkstra,100,0.000575065612793
Dijkstra,250,0.0028018951416
Dijkstra,500,0.0111691951752
Dijkstra,1000,0.0494651794434
Dijkstra,1500,0.0976071357727
Dijkstra,2000,0.174035072327
Dijkstra,2500,0.276598930359
BellmanFord,10,0.00432705879211
BellmanFord,20,0.0627791881561
BellmanFord,50,2.90482783318
BellmanFord,100,44.6631300449
Dijkstra_unitario,10,5.00679016113e-06
Dijkstra_unitario,20,2.14576721191e-06
Dijkstra_unitario,50,4.05311584473e-06
Dijkstra_unitario,100,5.96046447754e-06
Dijkstra_unitario,250,1.21593475342e-05
Dijkstra_unitario,500,2.59876251221e-05
Dijkstra_unitario,1000,4.79221343994e-05
Dijkstra_unitario,1500,7.10487365723e-05
Dijkstra_unitario,2000,9.41753387451e-05
Dijkstra_unitario,2500,0.000117063522339
BellmanFord_unitario,10,0.000463008880615
BellmanFord_unitario,20,0.00345087051392
BellmanFord_unitario,50,0.0504398345947
BellmanFord_unitario,100,0.437293052673
